,food_type,additives_n,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,calories_100g
47,grilled_salmon,1.3333333333333333,5.04,0.6266666666666666,1.4100000000000001,0.0,0.0,19.863333333333333,0.7171266666666667,0.2823333333333333,-0.5,-0.5,133.36520076481835
48,caprese_salad,0.0,11.97,3.17,8.45,7.04,0.7,3.52,0.8585200000000001,0.33799999999999997,6.0,6.0,147.94455066921606
51,donuts,4.3076923076923075,23.97214285714286,11.271875,50.363571428571426,24.134375000000002,1.8384615384615386,4.796875,0.8671562500000001,0.34140009842519675,19.5625,19.5625,428.2833413001912
52,baklava,2.8,20.032222222222224,6.333333333333333,53.14666666666666,28.95222222222223,1.4000000000000001,5.735555555555556,0.4496333333333334,0.1770209973753281,16.88888888888889,16.88888888888889,427.1298066709156
53,chicken_curry,2.3333333333333335,14.323333333333332,6.476666666666667,25.42,2.89,1.0666666666666667,7.56,2.0011666666666668,0.78786089238845,12.0,12.0,257.72785213511787
54,club_sandwich,5.0,9.0,1.5,22.0,2.0,1.5,10.0,1.2,0.47244094488189003,1.0,1.0,212.4760994263862
55,frozen_yogurt,3.869565217391304,3.2708695652173914,2.1266666666666665,28.97695652173914,22.040833333333335,0.3869565217391305,4.33875,0.23855749999999995,0.09392821522309709,6.041666666666667,6.041666666666667,162.8007488846399
56,onion_rings,2.6923076923076925,20.21923076923077,4.581428571428572,46.9923076923077,4.040714285714286,2.3538461538461535,4.154285714285714,2.1549099928571427,0.848389760967379,12.285714285714286,12.285714285714286,376.246244195575
58,deviled_eggs,0.0,25.86,4.31,1.72,0.0,0.0,10.34,1.09474,0.431,11.0,11.0,293.0210325047801
60,cheesecake,3.283333333333333,18.09766666666667,9.750327868852459,34.93283333333333,24.86868852459017,1.3148148148148147,5.09032786885246,0.6195852459016392,0.24393119917387376,17.508196721311474,17.508196721311474,319.30774535310155
61,lasagna,1.5833333333333333,5.700833333333333,2.4375,28.363333333333333,2.255,1.8000000000000005,8.441666666666666,0.5666316666666666,0.22308333333333333,-0.08333333333333333,-0.08333333333333333,199.5697896749522
62,spaghetti_carbonara,8.0,8.4,4.6,6.5,0.5,6.1,6.0,0.88,0.346456692913386,-1.0,-1.0,32.50478011472275
63,hummus,1.1791044776119404,13.705373134328356,1.0016923076923074,16.237462686567163,2.638358208955222,4.779076923076921,6.193731343283576,1.065911343283582,0.41965013515101646,-0.6615384615384615,-0.6615384615384615,208.38446391370107
64,scallops,0.6,0.7979999999999999,0.0,2.3040000000000003,0.0,0.0,14.776,0.588772,0.23180000000000006,-2.6,-2.6,84.17782026768641
